"","iso2c","year","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2"
"208","AR",1987,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,8
"209","AR",1988,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,8
"210","AR",1989,"Argentina","1","1","1","0","1","1","1","5",6,NA,NA,0,0,7
"211","AR",1990,"Argentina","1","1","1","1","1","1","1","6",NA,NA,NA,NA,NA,7
"212","AR",1991,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,7
"213","AR",1992,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,7
"214","AR",1993,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,7
"215","AR",1994,"Argentina","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,7
"216","AR",1995,"Argentina","1","0","0","0","0","0","1","1",2,0.5,0.5,0,0,7
"217","AR",1996,"Argentina","1","0","0","0","0","0","1","1",NA,NA,NA,NA,NA,7
"218","AR",1997,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,7
"219","AR",1998,"Argentina","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,7
"220","AR",1999,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,8
"221","AR",2000,"Argentina","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,8
"222","AR",2001,"Argentina","1","0","0","1","1","1","1","4",9.6,NA,NA,0,0,8
"223","AR",2002,"Argentina","1","1","1","0","1","1","1","5",NA,NA,NA,NA,NA,8
"224","AR",2003,"Argentina","1","0","0","0","1","1","1","3",NA,NA,NA,NA,NA,8
"225","AR",2004,"Argentina","1","0","0","0","1","1","0","2",NA,NA,NA,NA,NA,8
"226","AR",2005,"Argentina","1","0","0","0","1","1","0","2",NA,NA,NA,NA,NA,8
"227","AR",2006,"Argentina","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,8
"228","AR",2007,"Argentina","1","0","1","1","1","0","0","3",NA,NA,NA,NA,NA,8
"229","AR",2008,"Argentina","1","0","0","1","1","0","0","2",NA,NA,NA,NA,NA,8
"230","AR",2009,"Argentina","1","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,8
"231","AR",2010,"Argentina","1","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,8
"232","AT",1800,"Austria","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-10
"233","AT",1801,"Austria","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,-10
"234","AT",1802,"Austria","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-10
"235","AT",1803,"Austria","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-10
"236","AT",1804,"Austria","1","1","0","0","0","1","0","2",NA,NA,NA,NA,NA,-10
"237","AT",1805,"Austria","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,NA
"238","AT",1806,"Austria","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-10
"239","AT",1807,"Austria","1","1","0","0","0","1","0","2",NA,NA,NA,NA,NA,-10
"240","AT",1808,"Austria","1","1","0","0","0","1","0","2",NA,NA,NA,NA,NA,-10
"241","AT",1809,"Austria","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-10
"242","AT",1810,"Austria","1","1","0","0","0","1","0","2",NA,NA,NA,NA,NA,-10
"243","AT",1811,"Austria","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-10
"244","AT",1812,"Austria","1","1","0","0","0","1","0","2",NA,NA,NA,NA,NA,-10
